protein_id,mbl_avg,mbl_max,mbl_min,sim_lin_avg,sim_lin_max,sim_lin_min,sim_resnik_avg,sim_resnik_max,sim_resnik_min,sim_schlicker_avg,sim_schlicker_max,sim_schlicker_min,sim_wang_avg,sim_wang_max,sim_wang_min
GBRAP_HUMAN,9.096774193548388,17.0,2.0,0.022509292925151154,0.41497669348106875,0.0,0.12782948643455203,2.9369648489083415,0.0,0.012816724028856355,0.39297196173808285,0.0,0.06882624057428843,0.7913049285428077,0.0
PAPS2_HUMAN,7.25,11.0,4.0,0.07924524070959985,0.5008811517467671,0.0,0.6242031168388851,4.346024420801244,0.0,0.06684892261296244,0.4943906201981304,0.0,0.10363535747272443,0.42508710801393734,0.0
TPPP_HUMAN,8.547619047619047,18.0,2.0,0.03828789449299432,0.6166594196520303,0.0,0.2296216007598124,3.9900075881070616,0.0,0.0319900813134151,0.6052514832441453,0.0,0.08720566517477883,0.7690147091433218,0.0
LYPA2_HUMAN,7.9,15.0,2.0,0.039772702312168104,0.5648341289701319,0.0,0.28613764803684183,4.313659136299213,0.0,0.03331095074790645,0.5572741154792272,0.0,0.0859950327257712,0.5901639344262295,0.0
CXB5_HUMAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INMT_HUMAN,2.0,2.0,2.0,0.03059958514439472,0.18359751086636833,0.0,0.1571790317186125,0.943074190311675,0.0,0.018683224961991048,0.11209934977194629,0.0,0.11020776874435412,0.6612466124661247,0.0
MOCS3_HUMAN,6.846153846153846,14.0,1.0,0.08778105335389814,0.9636792496703134,0.0,0.6879007456786209,7.6255950721324535,0.0,0.07845213370858233,0.9631041640140736,0.0,0.11261327257457299,0.8581737315058546,0.0
MBD4_HUMAN,7.625,13.0,2.0,0.0974543326499242,0.8828303657513054,0.0,0.6576578381330863,6.750126334778554,0.0,0.09579254648272574,0.881796808249938,0.0,0.08182271057821008,0.8288046455571382,0.0
ASML_HUMAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNKS1_HUMAN,11.512345679012345,21.0,1.0,0.053887466079351486,0.9884603523310996,0.0,0.3307091035890022,6.278862488289206,0.0,0.049422274584010197,0.9866064624972305,0.0,0.07850221891204211,0.835807068419011,0.0
G6PE_HUMAN,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004722104390830967,0.0283326263449858,0.0
GCNT3_HUMAN,2.0,3.0,1.0,0.13729370898319898,0.9069898432453712,0.0,0.7742232420729283,5.708672459950393,0.0,0.12727546340417464,0.8990256528059617,0.0,0.14773613999686747,0.9281539166116421,0.0
CD2B2_HUMAN,5.523809523809524,12.0,2.0,0.011308342868149416,0.24702802215839295,0.0,0.02966591635988137,0.6926285205770805,0.0,0.004433312811269107,0.12344993268831447,0.0,0.24506234439610258,0.5901639344262295,0.0
LARG1_HUMAN,5.125,13.0,1.0,0.19744253923478156,1.0,0.0,1.0999966650162114,6.837137711768183,0.0,0.19345900048035958,0.9989268292682927,0.0,0.16926271930585005,0.9328782658750955,0.0
ACSL3_HUMAN,11.26530612244898,20.0,1.0,0.033649278210650654,0.9068760298635321,0.0,0.1829678095909871,6.750126334778554,0.0,0.02857650321149412,0.905814321340765,0.0,0.06208320358482144,0.9198808339571948,0.0
YETS4_HUMAN,7.916666666666667,14.0,2.0,0.028567145180674394,0.6208473718244671,0.0,0.2120871987295857,5.303207351842229,0.0,0.024758760309878756,0.6177582775841698,0.0,0.07869616193091532,0.7469266775724399,0.0
IL33_HUMAN,6.2,15.0,1.0,0.041166334169148305,0.6329328514776517,0.0,0.2034533970247084,4.133462978817572,0.0,0.028372462522636706,0.5514558782445088,0.0,0.1346896865768052,0.8822265772216779,0.0
TRUB2_HUMAN,10.0,20.0,4.0,0.016401570060191946,0.24037740880257968,0.0,0.0474896836337063,0.6926285205770805,0.0,0.008012115962297778,0.12012635116125711,0.0,0.05542783560224899,0.4247099241589422,0.0
LATS1_HUMAN,10.25531914893617,18.0,2.0,0.03723429295618634,0.8210948435521802,0.0,0.2030668927555317,3.8444520025157374,0.0,0.02530148729494762,0.8035249538904925,0.0,0.06947158274446459,0.605262050227609,0.0
AIFM1_HUMAN,7.888888888888889,12.0,2.0,0.019611748586142546,0.8732900152056057,0.0,0.10288360017265126,5.546153530452618,0.0,0.01363299653348224,0.869882054170657,0.0,0.05899194047612407,0.7690147091433218,0.0
ABHGA_HUMAN,7.0,7.0,7.0,0.16571701300857508,0.4971510390257252,0.0,1.4378863787664045,4.313659136299213,0.0,0.16349897626157198,0.4904969287847159,0.0,0.11065026464638476,0.3319507939391543,0.0
FTCD_HUMAN,4.363636363636363,10.0,2.0,0.03742406598111863,0.4170899046222734,0.0,0.1854057671614264,2.783352476318851,0.0,0.028608269881026525,0.3735435245203289,0.0,0.1624701206416865,0.6576414429924093,0.0
NUDT3_HUMAN,7.63265306122449,14.0,1.0,0.09219044607881571,0.9615913927146821,0.0,0.7497719242644095,8.676757761087575,0.0,0.0885126118929944,0.9614274385130257,0.0,0.13309982367483653,0.9433230036711461,0.0
